family,instances,mean_bks_vehicles,mean_bih_vehicles,mean_alns_vehicles,mean_da_adr_vehicles,mean_bks_distance,mean_bih_distance,mean_alns_distance,mean_da_adr_distance,mean_alns_vehicle_gap_vs_bks,mean_da_adr_vehicle_gap_vs_bks,mean_da_adr_gain_vs_alns_percent
C1,10,93.8,111.3,109.9,108.0,41671.341,66127.5932258798,63135.6601350426,58098.67017173699,16.1,14.2,5.982204725841864
C2,10,28.7,37.8,36.6,36.6,16772.964,39806.59539470847,37324.96635527796,37023.91656697423,7.9,7.9,1.0718585302774613
R1,10,91.9,94.7,94.1,94.1,46901.17,89728.52427412757,89278.40135444763,89351.6256429833,2.2,2.2,-0.0903155215773008
R2,10,19.0,19.1,19.1,19.1,28842.179,59260.49056523417,58771.353979359454,59105.46758328383,0.1,0.1,-0.5161977676676363
RC1,10,90.0,93.4,93.1,93.1,43895.776,69479.52842388938,69115.10662808946,68976.15913820747,3.1,3.1,0.2145908897866934
RC2,10,18.2,22.1,21.8,21.8,23914.278,38882.61234472587,36302.638351473724,36323.19517018196,3.6,3.6,-0.1454832690214123
