family,instances,feasible_rate,non_degradation_rate,mean_baseline_vehicles,mean_best_vehicles,mean_vehicle_reduction,mean_baseline_distance,mean_best_distance,mean_distance_improvement_percent,mean_runtime_seconds
C1,10,1.0,1.0,111.3,108.0,3.3,66127.5932258798,58098.67017173699,10.42950848831636,45.28173771998845
C2,10,1.0,1.0,37.8,36.6,1.2,39806.59539470847,37023.91656697423,8.23110046964907,46.17474244998302
R1,10,1.0,1.0,94.7,94.1,0.6,89728.52427412757,89351.6256429833,0.4361528392756978,45.826935529976616
R2,10,1.0,1.0,19.1,19.1,0.0,59260.49056523417,59105.467583283826,0.22333875698455952,61.476833040022754
RC1,10,1.0,1.0,93.4,93.1,0.3,69479.52842388938,68976.15913820747,0.7728631897895337,45.64258628004463
RC2,10,1.0,1.0,22.1,21.8,0.3,38882.61234472587,36323.19517018196,6.460248387022884,47.119082439993505
