instance,family,strategy,feasible,vehicle_count,total_distance,total_waiting,total_load,capacity_vehicle_lower_bound,vehicle_excess_over_capacity_lb,duplicate_customers,missing_customers,infeasible_routes,runtime_seconds,new_routes_created
RC2_10_1,RC2,largest_demand,True,39,56157.858776371846,147490.0782260222,17822.0,18,21,0,0,0,4.1847404999425635,39
RC2_10_1,RC2,farthest_from_depot,True,29,41272.95762142923,129358.73060556008,17822.0,18,11,0,0,0,4.194321200018749,29
RC2_10_2,RC2,earliest_due,True,25,42197.690218298776,89929.34253154065,17822.0,18,7,0,0,0,4.801026799948886,25
RC2_10_2,RC2,earliest_ready,True,33,51902.20527277712,104780.7397160126,17822.0,18,15,0,0,0,4.130962199997157,33
RC2_10_2,RC2,largest_demand,True,35,51223.112973533076,133977.0314194778,17822.0,18,17,0,0,0,4.082902300055139,35
RC2_10_2,RC2,farthest_from_depot,True,27,36079.84621405461,118393.0026221502,17822.0,18,9,0,0,0,4.0969757999992,27
RC2_10_3,RC2,earliest_due,True,21,32324.661304410845,64151.84019393825,17822.0,18,3,0,0,0,4.389636900043115,21
RC2_10_3,RC2,earliest_ready,True,28,43763.233861501496,71237.83083927244,17822.0,18,10,0,0,0,3.6415139000164345,28
RC2_10_3,RC2,largest_demand,True,33,49871.96579273581,120868.47844588596,17822.0,18,15,0,0,0,4.290604499983601,33
RC2_10_3,RC2,farthest_from_depot,True,25,29527.78885677297,101458.12431492608,17822.0,18,7,0,0,0,4.711288299993612,25
